,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,0.47674957911173504,0.007311461860602674,0.3795255819956462,0.008193997783739141,0.01,0.0001,"{'C': 0.01, 'gamma': 0.0001}",0.0005076405937219919,-0.036998182943662306,0.0022134491711648385,-0.011425697726258491,0.01809588251272412,77
11,0.4281482696533203,0.005350360468686414,0.37837378184000653,0.022699267514481227,0.01,0.001,"{'C': 0.01, 'gamma': 0.001}",0.013536499002195002,-0.01824425924627926,0.019475537655215813,0.004922592470377185,0.01655989752135521,41
12,0.4262792269388835,0.015900256717465006,0.35483622550964355,0.010934916677028794,0.01,0.01,"{'C': 0.01, 'gamma': 0.01}",0.055246009463352785,0.037966561161206114,0.07773990959921129,0.05698416007459006,0.016283850632927716,32
13,0.4115454355875651,0.008165471218080167,0.35617931683858234,0.016931491234893188,0.01,0.1,"{'C': 0.01, 'gamma': 0.1}",0.019864058012098007,-0.018235249907178286,0.025908873309337666,0.009179227138085796,0.01954141093069483,38
14,0.40681131680806476,0.004342505081384332,0.35534151395161945,0.009298091462329374,0.01,1.0,"{'C': 0.01, 'gamma': 1.0}",0.004519123220061871,-0.03233384950663187,0.007068196564065543,-0.0069155099075014865,0.018003581767911583,50
15,0.5317769845326742,0.05703613781505042,0.41135303179423016,0.03947666042271881,0.01,10.0,"{'C': 0.01, 'gamma': 10.0}",0.003958344062632957,-0.032717615213862405,0.006496327417538028,-0.007420981244563807,0.017917405085743632,72
16,0.49310072263081867,0.019655600761973906,0.3921414216359456,0.006072166552373796,0.01,100.0,"{'C': 0.01, 'gamma': 100.0}",0.00395829288927374,-0.03271765743252275,0.006496283035299699,-0.007421027169316437,0.017917402629852267,73
17,0.47655073801676434,0.003006827605857682,0.3884723981221517,0.0012144719676912554,0.01,1000.0,"{'C': 0.01, 'gamma': 1000.0}",0.00395829288927374,-0.03271765743252275,0.006496283035299699,-0.007421027169316437,0.017917402629852267,73
18,0.4123242696126302,0.004227924275098944,0.35646788279215497,0.011122877150902759,0.1,1e-05,"{'C': 0.1, 'gamma': 1e-05}",0.0005207039416983417,-0.0369790820221394,0.0022285635189003283,-0.011409938187180243,0.018093553795454013,76
19,0.4069557189941406,0.003539593546481819,0.3529597918192546,0.004139515376651975,0.1,0.0001,"{'C': 0.1, 'gamma': 0.0001}",0.0144783355081044,-0.0166176703302916,0.020709033460040827,0.006189899545951209,0.016326753749328942,40
20,0.3995061715443929,0.004161809555171513,0.3429727554321289,0.0009823804294676296,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.07796657136021179,0.08095202529214729,0.11304870982385451,0.09065576882540453,0.015881038771964798,18
21,0.4080467224121094,0.00920293083458927,0.34397292137145996,0.004102105904768938,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.13234363428578566,0.19179872547073107,0.21303049973607513,0.17905761983086396,0.03415010389191585,10
22,0.4501815636952718,0.0371357828475806,0.3738826910654704,0.032095933326124294,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.09456794540989788,0.07726786089241255,0.1266148874043158,0.09948356456887542,0.020443495137878635,15
23,0.416284720102946,0.010453580577377126,0.35632483164469403,0.007780083783136713,0.1,1.0,"{'C': 0.1, 'gamma': 1.0}",0.03620265523126176,0.003772879287008424,0.04567495080353734,0.02855016177393584,0.01794187636842717,34
