canonical_smiles,molecule_chembl_id,standard_value
N#Cc1ccc(N(Cc2ccc(Br)cc2)n2cnnc2)cc1,CHEMBL108425,0.5
Clc1ccc(COC(Cn2cccc2)c2ccc(Cl)cc2Cl)cc1,CHEMBL317581,30.0
N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(F)c2)n2cnnc2)cc1,CHEMBL108646,12.0
C[C@@H]1C(OC(=O)Cc2ccccn2)CC2CC1C2(C)C,CHEMBL134748,20000.0
C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)Cc1ccncc1,CHEMBL134442,440.0
C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)Cc1cccnc1,CHEMBL135095,1700.0
CC(C(=O)OC12CC3CC(CC(C3)C1)C2)c1cccnc1,CHEMBL134509,9100.0
CC(C)(C(=O)OC1(C)C2CC3CC(C2)CC1C3)c1cccnc1,CHEMBL3084923,40000.0
CC(C)(C(=O)OC12CC3CC(CC(C3)C1)C2)c1cccnc1,CHEMBL134169,35000.0
C[C@@H]1C(OC(=O)Cc2cccnc2)CC2CC1C2(C)C,CHEMBL131984,5600.0
C[C@@H]1C(OC(=O)Cc2ccncc2)CC2CC1C2(C)C,CHEMBL132072,120.0
O=C(Cc1cccnc1)OC12CC3CC(CC(C3)C1)C2,CHEMBL135037,8900.0
C[C@@H]1C(OC(=O)C(C)(C)c2cccnc2)CC2CC1C2(C)C,CHEMBL337251,30000.0
CC1(OC(=O)Cc2cccnc2)C2CC3CC(C2)CC1C3,CHEMBL3084924,10800.0
CCC(CC)(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1,CHEMBL132380,55000.0
C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)C(C)(C)c1cccnc1,CHEMBL444068,80500.0
CC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1,CHEMBL133724,1320.0
C[C@@H]1C(OC(=O)C(C)(C)c2ccncc2)CC2CC1C2(C)C,CHEMBL135070,3850.0
CCC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1,CHEMBL336102,3960.0
CC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1cccnc1,CHEMBL132066,8900.0
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL488,18500.0
CCN1CCc2cccc(C(c3ccc(F)cc3)n3cncn3)c21,CHEMBL41429,2900.0
Fc1ccc(C(C2Cc3ccccc3O2)n2cncn2)cc1,CHEMBL63297,190.0
CCn1ccc2cccc(C(c3ccc(F)cc3)n3ccnc3)c21,CHEMBL416616,62.0
COc1ccc2c(c1)C1C(CC2)C1c1ccncc1,CHEMBL294361,30.0
Cc1ccc(C(C2Cc3ccccc3O2)n2cncn2)cc1,CHEMBL65328,590.0
COc1ccc2c(c1)C1C(CC2)C1c1ccncc1,CHEMBL294361,10000.0
COc1ccc(Br)c2c1CCC1C(c3ccncc3)C21,CHEMBL63336,4300.0
CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21,CHEMBL41761,41.0
Oc1ccc2c(c1)CCC1C(c3ccncc3)C21,CHEMBL304222,330.0
CCn1ccc2cc(Br)cc(C(c3ccc(F)cc3)n3ccnc3)c21,CHEMBL39423,200.0
COc1cc2c(cc1Br)CCC1C(c3ccncc3)C21,CHEMBL419619,1400.0
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL488,18500.0
CCN1CCc2cccc(C(c3cccc(Cl)c3)n3ccnc3)c21,CHEMBL288695,110.0
COc1cccc2c1CCC1C(c3ccncc3)C21,CHEMBL66673,3350.0
Clc1ccc(C(C2Cc3ccccc3O2)n2cncn2)cc1,CHEMBL291646,200.0
CCN1CCc2cc(Br)cc(C(c3ccc(F)cc3)n3ccnc3)c21,CHEMBL287950,90.0
CCN1CCc2cccc(C(c3ccc(F)cc3)n3ccnc3)c21,CHEMBL39403,61.5
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL488,18500.0
CCn1ccc2cccc(C(c3ccc(Br)cc3)n3ccnc3)c21,CHEMBL285193,70.0
COc1ccc2c(c1)CCC1C(c3ccncc3)C21,CHEMBL67842,69.0
Clc1ccc(C(C2Cc3ccccc3O2)n2cncn2)c(Cl)c1,CHEMBL304788,880.0
Fc1ccc(C(C2Cc3ccccc3O2)n2cnnn2)cc1,CHEMBL294360,2170.0
CCn1ccc2cccc(C(c3cccc(Cl)c3)n3ccnc3)c21,CHEMBL287967,170.0
